time_ms,temp_cC,pressPa,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,latitude,longitude,flags_raw,flag_armed,flag_gps_fix,flag_altitude_hold,flag_battery_low,flag_sensor_error,flag_recovery_mode,flag_data_logging,flag_telemetry_active,timestamp,time_s,altitude,accel_total,mag_total,speed,temperature,battery_voltage,rssi,roll,pitch,yaw
1000,25.000000,193281,-479,35,484,-183,832,-1158,-52.700000,52.800000,-137.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:16:40,1.000000,-5796.830300,1.437594,681.851890,0.000000,25.000000,7.350000,-100,144.303505,12.123858,175.820888
1100,25.000000,193281,367,389,8,-189,-820,-933,7.300000,-32.400000,-174.700000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:18:20,1.100000,-5796.830300,1.256427,534.858860,0.000000,25.000000,7.350000,-100,-138.688236,12.658520,46.666867
1200,25.000000,193281,334,391,430,369,-819,1067,-125.400000,88.600000,176.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:20:00,1.200000,-5796.830300,1.394780,670.326040,0.000000,25.000000,7.350000,-100,-37.508858,-22.331938,49.495387
1300,25.000000,193281,-418,393,-22,-429,-659,908,-62.000000,-85.400000,101.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:21:40,1.300000,-5796.830300,1.201160,574.157644,0.000000,25.000000,7.350000,-100,-35.971054,28.615528,136.765649
1400,25.000000,193281,-181,469,237,-1417,-92,-1632,114.200000,17.900000,-35.200000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:23:20,1.400000,-5796.830300,2.163279,555.779633,0.000000,25.000000,7.350000,-100,-176.773506,44.939746,111.102973
1500,25.000000,193281,259,-215,101,1238,-329,-1696,129.900000,-64.800000,-77.200000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:25:00,1.500000,-5796.830300,2.125394,351.435627,0.000000,25.000000,7.350000,-100,-169.021780,-44.022704,-39.696602
1600,25.000000,193281,-86,108,408,-727,1189,-293,96.700000,84.900000,19.900000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:26:40,1.600000,-5796.830300,1.424113,430.724970,0.000000,25.000000,7.350000,-100,103.843329,27.548940,128.530180
1700,25.000000,193281,1,-294,191,378,180,-1228,14.900000,-44.200000,95.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:28:20,1.700000,-5796.830300,1.297408,350.596634,0.000000,25.000000,7.350000,-100,171.660981,-42.077634,-89.805117
1800,25.000000,193281,331,-113,-55,550,131,660,45.100000,131.100000,-17.000000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:30:00,1.800000,-5796.830300,0.869058,354.055080,0.000000,25.000000,7.350000,-100,11.226435,-44.209708,-18.849378
1900,25.000000,193281,-111,100,410,1622,1265,1333,125.800000,-143.900000,-171.500000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:31:40,1.900000,-5796.830300,2.451122,436.372547,0.000000,25.000000,7.350000,-100,43.500684,-38.257193,137.984282
2000,25.000000,193281,-29,-363,6,321,226,1724,-168.000000,3.300000,-146.300000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:33:20,2.000000,-5796.830300,1.768133,364.205986,0.000000,25.000000,7.350000,-100,7.468345,-39.271946,-94.567648
2100,25.000000,193281,-303,491,-117,-1537,-1184,-1038,-118.800000,34.000000,0.700000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:35:00,2.100000,-5796.830300,2.200379,588.709606,0.000000,25.000000,7.350000,-100,-131.240695,38.386345,121.679065
2200,25.000000,193281,114,-29,282,433,1335,1712,-110.500000,-160.300000,111.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:36:40,2.200000,-5796.830300,2.213743,305.550323,0.000000,25.000000,7.350000,-100,37.946739,-17.146152,-14.272513
2300,25.000000,193281,-83,473,-442,244,1645,-753,120.700000,107.500000,90.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:38:20,2.300000,-5796.830300,1.825533,652.672966,0.000000,25.000000,7.350000,-100,114.595974,-8.347051,99.952688
2400,25.000000,193281,-404,-399,-304,-786,248,524,-178.500000,-62.200000,94.500000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:40:00,2.400000,-5796.830300,0.976666,644.075306,0.000000,25.000000,7.350000,-100,25.327372,43.641102,-135.356756
2500,25.000000,193281,-309,153,169,-1213,1298,-1105,-35.800000,-140.500000,176.200000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:41:40,2.500000,-5796.830300,2.092175,383.993490,0.000000,25.000000,7.350000,-100,130.408073,34.324456,153.657888
2600,25.000000,193281,-99,137,50,-1295,-1084,-1948,-121.000000,-111.800000,62.300000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:43:20,2.600000,-5796.830300,2.578136,176.266843,0.000000,25.000000,7.350000,-100,-150.905455,37.481420,125.852920
2700,25.000000,193281,152,-225,-274,-378,1812,-1700,9.500000,-87.400000,143.000000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:45:00,2.700000,-5796.830300,2.513211,385.752511,0.000000,25.000000,7.350000,-100,133.173419,11.541854,-55.958788
2800,25.000000,193281,-378,-498,-175,-37,-847,520,-65.900000,-19.900000,-87.500000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:46:40,2.800000,-5796.830300,0.994574,649.240325,0.000000,25.000000,7.350000,-100,-58.452924,2.498915,-127.199812
2900,25.000000,193281,7,123,-81,-841,1392,-1824,-52.600000,10.800000,-122.500000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:48:20,2.900000,-5796.830300,2.443751,147.441514,0.000000,25.000000,7.350000,-100,142.650651,27.344192,86.742778
3000,25.000000,193281,-22,-238,311,-734,-1127,839,79.000000,100.800000,40.800000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:50:00,3.000000,-5796.830300,1.585183,392.235898,0.000000,25.000000,7.350000,-100,-53.334001,28.623329,-95.281241
3100,25.000000,193281,113,8,-180,-1623,1857,938,-87.200000,-155.400000,-16.500000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:51:40,3.100000,-5796.830300,2.638640,212.680512,0.000000,25.000000,7.350000,-100,63.200939,33.347872,4.049582
3200,25.000000,193281,-73,-220,-5,715,-555,861,-119.800000,-115.600000,-12.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:53:20,3.200000,-5796.830300,1.249228,231.849089,0.000000,25.000000,7.350000,-100,-32.805800,-38.306857,-108.356783
3300,25.000000,193281,347,453,493,459,-663,1874,99.800000,-83.300000,-38.800000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:55:00,3.300000,-5796.830300,2.040129,754.100126,0.000000,25.000000,7.350000,-100,-19.483203,-29.648964,52.547726
3400,25.000000,193281,-206,-45,-448,-1391,-528,-976,-97.600000,138.600000,-101.300000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:56:40,3.400000,-5796.830300,1.779393,495.141394,0.000000,25.000000,7.350000,-100,-151.587339,43.073398,-167.677503
3500,25.000000,193281,474,-116,125,-1960,119,67,160.200000,68.300000,-82.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:58:20,3.500000,-5796.830300,1.964752,503.742990,0.000000,25.000000,7.350000,-100,60.619392,44.947296,-13.751476
3600,25.000000,193281,360,335,-250,-1043,-542,-798,16.000000,14.000000,-23.100000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:00:00,3.600000,-5796.830300,1.420710,551.656596,0.000000,25.000000,7.350000,-100,-145.815732,41.583995,42.939889
3700,25.000000,193281,-291,-326,-229,146,1277,-1651,141.900000,30.400000,167.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:01:40,3.700000,-5796.830300,2.092330,493.353828,0.000000,25.000000,7.350000,-100,142.279102,-6.480478,-131.753314
3800,25.000000,193281,209,288,234,-1196,-349,249,67.800000,-67.700000,17.000000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:03:20,3.800000,-5796.830300,1.270519,425.888483,0.000000,25.000000,7.350000,-100,-54.493394,43.829788,54.031816
3900,25.000000,193281,-499,438,183,-564,1231,1631,156.400000,-121.000000,-128.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:05:00,3.900000,-5796.830300,2.119816,688.719101,0.000000,25.000000,7.350000,-100,37.043742,22.613073,138.724779
4000,25.000000,193281,58,248,-236,-984,-1769,461,37.400000,-152.600000,32.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:06:40,4.000000,-5796.830300,2.076087,347.223271,0.000000,25.000000,7.350000,-100,-75.393630,25.924583,76.836768
4100,25.000000,193281,-24,341,348,-1132,-1571,-1192,53.900000,146.000000,-68.000000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:08:20,4.100000,-5796.830300,2.273836,487.812464,0.000000,25.000000,7.350000,-100,-127.189496,30.310727,94.025909
4200,25.000000,193281,-317,210,-444,-750,-656,720,36.500000,-12.000000,-170.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:10:00,4.200000,-5796.830300,1.229323,584.572493,0.000000,25.000000,7.350000,-100,-42.336999,36.968814,146.477097
4300,25.000000,193281,-470,103,-64,294,515,467,-65.800000,6.200000,97.800000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:11:40,4.300000,-5796.830300,0.754818,485.391594,0.000000,25.000000,7.350000,-100,47.798381,-26.371096,167.639101
4400,25.000000,193281,-110,310,-44,-1933,-1735,-1646,-142.600000,15.900000,-91.100000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:13:20,4.400000,-5796.830300,3.075066,331.867443,0.000000,25.000000,7.350000,-100,-133.492119,36.656373,109.536655
4500,25.000000,193281,306,-254,-254,338,-449,-197,-138.000000,153.800000,126.900000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:15:00,4.500000,-5796.830300,0.595528,471.877103,0.000000,25.000000,7.350000,-100,-113.689597,-31.023649,-39.694890
4600,25.000000,193281,388,22,-114,-1211,-584,610,-98.700000,-8.900000,-122.500000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:16:40,4.600000,-5796.830300,1.476373,404.998765,0.000000,25.000000,7.350000,-100,-43.752550,42.010385,3.245255
4700,25.000000,193281,-46,491,-240,-111,1125,569,4.500000,84.600000,-26.700000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:18:20,4.700000,-5796.830300,1.265586,548.449633,0.000000,25.000000,7.350000,-100,63.170728,5.607889,95.352210
4800,25.000000,193281,131,108,-183,-221,-1236,1692,67.500000,39.300000,-81.200000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:20:00,4.800000,-5796.830300,2.106989,249.627723,0.000000,25.000000,7.350000,-100,-36.147996,9.982449,39.503107
4900,25.000000,193281,-399,-143,-300,-612,-216,-756,89.900000,-21.400000,-93.200000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:21:40,4.900000,-5796.830300,0.996361,519.278345,0.000000,25.000000,7.350000,-100,-164.054604,43.319355,-160.282524
5000,25.000000,193281,-315,-384,22,-650,-298,354,-8.600000,-114.500000,166.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:23:20,5.000000,-5796.830300,0.797885,497.156917,0.000000,25.000000,7.350000,-100,-40.090938,42.271486,-129.362457
5100,25.000000,193281,96,-147,492,-74,-382,-545,-128.100000,-28.500000,75.100000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:25:00,5.100000,-5796.830300,0.669645,522.387787,0.000000,25.000000,7.350000,-100,-144.972717,10.768016,-56.853004
5200,25.000000,193281,-201,-87,339,594,-1305,-554,-120.600000,-178.800000,-154.900000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:26:40,5.200000,-5796.830300,1.537133,403.597572,0.000000,25.000000,7.350000,-100,-113.002246,-22.503044,-156.595310
5300,25.000000,193281,-37,476,-8,-1852,1123,41,-29.900000,89.000000,93.000000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:28:20,5.300000,-5796.830300,2.166267,477.502880,0.000000,25.000000,7.350000,-100,87.909097,40.533090,94.444726
5400,25.000000,193281,402,-311,-142,1605,-1499,-102,-44.900000,-87.700000,-23.000000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:30:00,5.400000,-5796.830300,2.198506,527.720570,0.000000,25.000000,7.350000,-100,-93.892712,-36.160384,-37.726677
5500,25.000000,193281,-281,307,-497,-1719,900,-493,95.900000,87.900000,37.100000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:31:40,5.500000,-5796.830300,2.002001,648.243010,0.000000,25.000000,7.350000,-100,118.712949,41.538449,132.468162
5600,25.000000,193281,94,84,-406,104,1028,-690,141.900000,-117.300000,131.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:33:20,5.600000,-5796.830300,1.242457,425.121159,0.000000,25.000000,7.350000,-100,123.869758,-5.747665,41.784516
5700,25.000000,193281,-402,-77,54,1059,-816,-514,-163.500000,124.800000,2.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:35:00,5.700000,-5796.830300,1.432317,412.854696,0.000000,25.000000,7.350000,-100,-122.206906,-38.383562,-169.156769
5800,25.000000,193281,344,-254,-195,1060,128,1811,-34.800000,41.000000,-82.300000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:36:40,5.800000,-5796.830300,2.102309,469.975531,0.000000,25.000000,7.350000,-100,4.042896,-44.792642,-36.441125
5900,25.000000,193281,406,443,-411,1957,905,-207,95.900000,27.600000,95.800000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:38:20,5.900000,-5796.830300,2.166039,728.015110,0.000000,25.000000,7.350000,-100,102.883597,-42.228358,47.495410
6000,25.000000,193281,486,258,-457,50,1942,98,16.300000,-62.900000,-131.500000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:40:00,6.000000,-5796.830300,1.945114,715.268481,0.000000,25.000000,7.350000,-100,87.111108,-1.474360,27.962232
6100,25.000000,193281,200,-258,156,-1786,1282,121,-68.400000,164.900000,164.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:41:40,6.100000,-5796.830300,2.201809,361.801050,0.000000,25.000000,7.350000,-100,84.608181,39.089682,-52.217379
6200,25.000000,193281,477,-317,-307,291,641,807,172.500000,-26.200000,105.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:43:20,6.200000,-5796.830300,1.070893,649.820745,0.000000,25.000000,7.350000,-100,38.460112,-22.458968,-33.606829
6300,25.000000,193281,-161,-218,-410,-319,134,-774,38.400000,86.500000,55.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:45:00,6.300000,-5796.830300,0.847817,491.472278,0.000000,25.000000,7.350000,-100,170.177935,42.674863,-126.447058
6400,25.000000,193281,-304,-433,-165,1091,-1640,-1280,153.300000,22.900000,68.800000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:46:40,6.400000,-5796.830300,2.349102,554.193107,0.000000,25.000000,7.350000,-100,-127.971604,-28.981184,-125.071869
6500,25.000000,193281,-328,26,66,-172,-727,1049,49.100000,-18.700000,42.000000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:48:20,6.500000,-5796.830300,1.287833,335.583075,0.000000,25.000000,7.350000,-100,-34.723546,12.965437,175.467738
6600,25.000000,193281,7,110,135,1823,-600,-821,-177.100000,121.000000,138.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:50:00,6.600000,-5796.830300,2.087431,174.281382,0.000000,25.000000,7.350000,-100,-143.840065,-43.527432,86.358815
6700,25.000000,193281,-413,-173,18,869,-1051,-967,-86.400000,87.100000,-172.000000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:51:40,6.700000,-5796.830300,1.671781,448.131677,0.000000,25.000000,7.350000,-100,-132.616418,-32.506203,-157.271863
6800,25.000000,193281,287,-113,-337,-915,-89,-848,-6.800000,38.800000,134.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:53:20,6.800000,-5796.830300,1.250700,456.844613,0.000000,25.000000,7.350000,-100,-174.008580,44.865118,-21.490960
6900,25.000000,193281,-439,271,-37,526,-1909,-1068,44.100000,53.600000,112.300000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:55:00,6.900000,-5796.830300,2.249796,517.233990,0.000000,25.000000,7.350000,-100,-119.225059,-14.876361,148.312466
7000,25.000000,193281,6,-434,-425,1482,1184,-324,151.100000,65.500000,80.100000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:56:40,7.000000,-5796.830300,1.924359,607.467695,0.000000,25.000000,7.350000,-100,105.304243,-37.999803,-89.207943
7100,25.000000,193281,-327,-133,407,1183,787,-1128,-57.900000,-69.500000,-80.800000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 01:58:20,7.100000,-5796.830300,1.814178,538.764327,0.000000,25.000000,7.350000,-100,145.096710,-39.780470,-157.867056
7200,25.000000,193281,-375,71,-247,-1666,-1668,-1127,159.200000,140.000000,-15.900000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:00:00,7.200000,-5796.830300,2.613027,454.615222,0.000000,25.000000,7.350000,-100,-124.045300,35.248179,169.278904
7300,25.000000,193281,479,390,-85,-1104,826,-827,-66.800000,151.500000,102.100000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:01:40,7.300000,-5796.830300,1.607800,623.511026,0.000000,25.000000,7.350000,-100,135.034662,38.684106,39.152351
7400,25.000000,193281,453,-288,-14,-1367,1440,-1416,-19.400000,27.400000,-14.500000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:03:20,7.400000,-5796.830300,2.438718,536.981378,0.000000,25.000000,7.350000,-100,134.518534,34.546816,-32.446633
7500,25.000000,193281,-443,-450,55,-563,1748,-896,-136.700000,-34.400000,-3.800000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:05:00,7.500000,-5796.830300,2.043352,633.856451,0.000000,25.000000,7.350000,-100,117.139033,17.044135,-134.550882
7600,25.000000,193281,450,290,-474,-1055,-1211,-516,-55.500000,-129.100000,171.700000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:06:40,7.600000,-5796.830300,1.686951,715.035663,0.000000,25.000000,7.350000,-100,-113.078570,33.299795,32.799531
7700,25.000000,193281,-314,-298,381,-494,749,1876,-34.300000,68.800000,96.500000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:08:20,7.700000,-5796.830300,2.079522,576.681021,0.000000,25.000000,7.350000,-100,21.764540,28.836223,-136.497588
7800,25.000000,193281,-177,-357,-52,-891,1767,439,-25.100000,-71.100000,-63.000000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:10:00,7.800000,-5796.830300,2.027040,401.848230,0.000000,25.000000,7.350000,-100,76.047712,24.239321,-116.372137
7900,25.000000,193281,-236,-5,-424,-1971,1019,-369,-51.600000,147.400000,86.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:11:40,7.900000,-5796.830300,2.249303,485.280331,0.000000,25.000000,7.350000,-100,109.906321,41.614891,-178.786288
8000,25.000000,193281,330,34,311,1886,1216,1008,-58.500000,-141.000000,12.500000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:13:20,8.000000,-5796.830300,2.460024,454.727391,0.000000,25.000000,7.350000,-100,50.343056,-40.045500,5.882446
8100,25.000000,193281,-265,-335,326,541,-1706,1885,-123.700000,-103.300000,124.300000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:15:00,8.100000,-5796.830300,2.599296,537.332299,0.000000,25.000000,7.350000,-100,-42.146348,-16.819070,-128.345575
8200,25.000000,193281,273,-335,-461,192,163,-788,-11.200000,-166.800000,150.000000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:16:40,8.200000,-5796.830300,0.827271,631.882109,0.000000,25.000000,7.350000,-100,168.313035,-37.319398,-50.822535
8300,25.000000,193281,-354,-72,245,-1793,-645,-1449,16.500000,158.800000,-121.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:18:20,8.300000,-5796.830300,2.393841,436.491695,0.000000,25.000000,7.350000,-100,-156.004500,43.257951,-168.503437
8400,25.000000,193281,-402,-414,445,1802,-126,654,-102.600000,-54.100000,111.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:20:00,8.400000,-5796.830300,1.921144,728.714622,0.000000,25.000000,7.350000,-100,-10.905022,-44.930139,-134.157476
8500,25.000000,193281,194,-262,-244,1770,822,-1028,130.700000,13.100000,-44.900000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:21:40,8.500000,-5796.830300,2.205758,407.205108,0.000000,25.000000,7.350000,-100,141.353788,-42.206992,-53.481606
8600,25.000000,193281,-381,439,-365,-352,519,1648,150.900000,-16.300000,-1.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:23:20,8.600000,-5796.830300,1.763284,686.372348,0.000000,25.000000,7.350000,-100,17.480632,29.305778,130.954110
8700,25.000000,193281,153,351,-301,-1638,-1269,990,124.800000,-41.200000,112.900000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:25:00,8.700000,-5796.830300,2.296411,487.043119,0.000000,25.000000,7.350000,-100,-52.040717,38.327083,66.447736
8800,25.000000,193281,-457,-449,427,-396,673,-652,-127.700000,-161.400000,-42.800000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:26:40,8.800000,-5796.830300,1.017275,769.921425,0.000000,25.000000,7.350000,-100,134.091992,26.891027,-135.505910
8900,25.000000,193281,441,129,320,531,194,-1217,1.900000,-114.200000,98.700000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:28:20,8.900000,-5796.830300,1.341896,559.930353,0.000000,25.000000,7.350000,-100,170.942777,-43.206496,16.305096
9000,25.000000,193281,-53,201,-433,356,-1951,54,-5.200000,174.900000,10.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:30:00,9.000000,-5796.830300,1.983949,480.311357,0.000000,25.000000,7.350000,-100,-88.414566,-10.176590,104.771621
9100,25.000000,193281,-204,-249,-72,-869,-1816,122,88.200000,-11.100000,118.000000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:31:40,9.100000,-5796.830300,2.016904,329.849966,0.000000,25.000000,7.350000,-100,-86.156609,23.347386,-129.326978
9200,25.000000,193281,111,-347,-366,-1238,1733,591,-162.200000,157.600000,-96.800000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:33:20,9.200000,-5796.830300,2.210252,516.416499,0.000000,25.000000,7.350000,-100,71.169232,30.168692,-72.261320
9300,25.000000,193281,352,-264,27,718,170,-561,171.400000,167.100000,-55.900000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:35:00,9.300000,-5796.830300,0.926901,440.827631,0.000000,25.000000,7.350000,-100,163.141601,-44.218804,-36.869898
9400,25.000000,193281,-221,-88,-395,998,-1798,830,174.100000,-152.000000,92.100000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 02:36:40,9.400000,-5796.830300,2.217591,461.096519,0.000000,25.000000,7.350000,-100,-65.220818,-25.887883,-158.288045
